state,date,gini
Johor,1979,0.442
Kedah,1979,0.468
Kelantan,1979,0.438
Melaka,1979,0.472
Negeri Sembilan,1979,0.432
Pahang,1979,0.478
Perak,1979,0.447
Perlis,1979,0.44
Pulau Pinang,1979,0.492
Sabah,1979,0.49
Sarawak,1979,0.501
Selangor,1979,0.505
Terengganu,1979,0.458
Kuala Lumpur,1979,0.1
Labuan,1979,0.1
Putrajaya,1979,0.1
