state,date,gini
Johor,1997,0.397
Kedah,1997,0.429
Kelantan,1997,0.442
Melaka,1997,0.371
Negeri Sembilan,1997,0.408
Pahang,1997,0.359
Perak,1997,0.381
Perlis,1997,0.412
Pulau Pinang,1997,0.398
Sabah,1997,0.454
Sarawak,1997,0.447
Selangor,1997,0.409
Terengganu,1997,0.466
Kuala Lumpur,1997,0.417
Labuan,1997,0.1
Putrajaya,1997,0.1
