state,date,gini
Johor,2019,0.366
Kedah,2019,0.354
Kelantan,2019,0.378
Melaka,2019,0.383
Negeri Sembilan,2019,0.391
Pahang,2019,0.33
Perak,2019,0.377
Perlis,2019,0.334
Pulau Pinang,2019,0.359
Sabah,2019,0.397
Sarawak,2019,0.387
Selangor,2019,0.393
Terengganu,2019,0.335
Kuala Lumpur,2019,0.35
Labuan,2019,0.333
Putrajaya,2019,0.361
