state,date,gini
Johor,2004,0.395
Kedah,2004,0.387
Kelantan,2004,0.416
Melaka,2004,0.352
Negeri Sembilan,2004,0.38
Pahang,2004,0.389
Perak,2004,0.393
Perlis,2004,0.423
Pulau Pinang,2004,0.398
Sabah,2004,0.477
Sarawak,2004,0.44
Selangor,2004,0.443
Terengganu,2004,0.443
Kuala Lumpur,2004,0.467
Labuan,2004,0.1
Putrajaya,2004,0.1
