state,date,gini
Johor,1999,0.386
Kedah,1999,0.409
Kelantan,1999,0.424
Melaka,1999,0.399
Negeri Sembilan,1999,0.392
Pahang,1999,0.332
Perak,1999,0.387
Perlis,1999,0.394
Pulau Pinang,1999,0.399
Sabah,1999,0.448
Sarawak,1999,0.407
Selangor,1999,0.394
Terengganu,1999,0.44
Kuala Lumpur,1999,0.414
Labuan,1999,0.1
Putrajaya,1999,0.1
