state,date,gini
Johor,2016,0.354
Kedah,2016,0.393
Kelantan,2016,0.389
Melaka,2016,0.337
Negeri Sembilan,2016,0.38
Pahang,2016,0.324
Perak,2016,0.362
Perlis,2016,0.327
Pulau Pinang,2016,0.356
Sabah,2016,0.402
Sarawak,2016,0.386
Selangor,2016,0.372
Terengganu,2016,0.328
Kuala Lumpur,2016,0.378
Labuan,2016,0.398
Putrajaya,2016,0.369
