state,date,gini
Johor,1992,0.423
Kedah,1992,0.433
Kelantan,1992,0.451
Melaka,1992,0.397
Negeri Sembilan,1992,0.406
Pahang,1992,0.369
Perak,1992,0.399
Perlis,1992,0.415
Pulau Pinang,1992,0.412
Sabah,1992,0.468
Sarawak,1992,0.467
Selangor,1992,0.446
Terengganu,1992,0.448
Kuala Lumpur,1992,0.443
Labuan,1992,0.1
Putrajaya,1992,0.1
