state,date,gini
Johor,2002,0.408
Kedah,2002,0.426
Kelantan,2002,0.444
Melaka,2002,0.386
Negeri Sembilan,2002,0.401
Pahang,2002,0.404
Perak,2002,0.417
Perlis,2002,0.437
Pulau Pinang,2002,0.435
Sabah,2002,0.465
Sarawak,2002,0.445
Selangor,2002,0.423
Terengganu,2002,0.424
Kuala Lumpur,2002,0.448
Labuan,2002,0.1
Putrajaya,2002,0.1
