state,date,gini
Johor,1976,0.469
Kedah,1976,0.497
Kelantan,1976,0.505
Melaka,1976,0.558
Negeri Sembilan,1976,0.49
Pahang,1976,0.384
Perak,1976,0.525
Perlis,1976,0.498
Pulau Pinang,1976,0.608
Sabah,1976,0.1
Sarawak,1976,0.1
Selangor,1976,0.516
Terengganu,1976,0.482
Kuala Lumpur,1976,0.1
Labuan,1976,0.1
Putrajaya,1976,0.1
