state,date,gini
Johor,1984,0.404
Kedah,1984,0.476
Kelantan,1984,0.464
Melaka,1984,0.438
Negeri Sembilan,1984,0.422
Pahang,1984,0.416
Perak,1984,0.428
Perlis,1984,0.459
Pulau Pinang,1984,0.452
Sabah,1984,0.491
Sarawak,1984,0.498
Selangor,1984,0.481
Terengganu,1984,0.461
Kuala Lumpur,1984,0.486
Labuan,1984,0.1
Putrajaya,1984,0.1
