state,date,gini
Johor,1995,0.399
Kedah,1995,0.406
Kelantan,1995,0.442
Melaka,1995,0.399
Negeri Sembilan,1995,0.384
Pahang,1995,0.373
Perak,1995,0.397
Perlis,1995,0.379
Pulau Pinang,1995,0.405
Sabah,1995,0.448
Sarawak,1995,0.44
Selangor,1995,0.424
Terengganu,1995,0.464
Kuala Lumpur,1995,0.423
Labuan,1995,0.1
Putrajaya,1995,0.1
