state,date,gini
Johor,2022,0.366
Kedah,2022,0.359
Kelantan,2022,0.385
Melaka,2022,0.37
Negeri Sembilan,2022,0.369
Pahang,2022,0.308
Perak,2022,0.368
Perlis,2022,0.336
Pulau Pinang,2022,0.371
Sabah,2022,0.395
Sarawak,2022,0.382
Selangor,2022,0.361
Terengganu,2022,0.326
Kuala Lumpur,2022,0.38
Labuan,2022,0.3
Putrajaya,2022,0.368
