state,date,income_mean
Selangor,2012,7023
Selangor,2014,8252
Selangor,2016,9463
Selangor,2019,10827
Selangor,2020,9668
Selangor,2022,12233
Terengganu,1970,173
Terengganu,1974,206
Terengganu,1976,339
Terengganu,1979,360
Terengganu,1984,756
Terengganu,1987,694
Terengganu,1989,759
Terengganu,1992,939
Terengganu,1995,1117
Terengganu,1997,1497
Terengganu,1999,1599
Terengganu,2002,1837
Terengganu,2004,1984
Terengganu,2007,2463
Terengganu,2009,3017
Terengganu,2012,3967
Terengganu,2014,4816
Terengganu,2016,5776
Terengganu,2019,6815
Terengganu,2020,6051
Terengganu,2022,7248
W.P. Kuala Lumpur,1976,1058
W.P. Kuala Lumpur,1984,1920
W.P. Kuala Lumpur,1987,1790
W.P. Kuala Lumpur,1989,1824
W.P. Kuala Lumpur,1992,2429
W.P. Kuala Lumpur,1995,3371
W.P. Kuala Lumpur,1997,4768
W.P. Kuala Lumpur,1999,4105
W.P. Kuala Lumpur,2002,4930
W.P. Kuala Lumpur,2004,5011
W.P. Kuala Lumpur,2007,5322
W.P. Kuala Lumpur,2009,5488
W.P. Kuala Lumpur,2012,8586
W.P. Kuala Lumpur,2014,10629
W.P. Kuala Lumpur,2016,11692
W.P. Kuala Lumpur,2019,13257
W.P. Kuala Lumpur,2020,11728
W.P. Kuala Lumpur,2022,13325
W.P. Labuan,2007,3726
W.P. Labuan,2009,4407
W.P. Labuan,2012,6317
W.P. Labuan,2014,7591
W.P. Labuan,2016,8174
W.P. Labuan,2019,8319
W.P. Labuan,2020,7333
W.P. Labuan,2022,8250
W.P. Putrajaya,2007,5294
W.P. Putrajaya,2009,6747
W.P. Putrajaya,2012,8101
W.P. Putrajaya,2014,10401
W.P. Putrajaya,2016,11555
W.P. Putrajaya,2019,12840
W.P. Putrajaya,2020,12322
W.P. Putrajaya,2022,13473
